file_url,link_title,date,title,article_url,publication,description,tags
/media/media-35530.pdf,"<span class=""asset-headline-intro"">Guide for Analysts on how to use the PRISM Skype Collection</span>",12/28/14,Prying Eyes: Inside the NSA's War on Internet Security,http://www.spiegel.de/international/germany/inside-the-nsa-s-war-on-internet-security-a-1010361.html,Der Spiegel,"US and British intelligence agencies undertake every effort imaginable to crack all types of encrypted Internet communication. The cloud, it seems, is full of holes. The good news: New Snowden documents show that some forms of encryption still cause problems for the NSA.","Edward Snowden, Big Data, GCHQ, NSA, International, Germany, NSA Spying Scandal, National Security Agency, Government Communications Headquarters, Data Protection"
/media/media-35531.pdf,"<span class=""asset-headline-intro"">GCHQ Briefing on the BULLRUN Program</span>",12/28/14,Prying Eyes: Inside the NSA's War on Internet Security,http://www.spiegel.de/international/germany/inside-the-nsa-s-war-on-internet-security-a-1010361.html,Der Spiegel,"US and British intelligence agencies undertake every effort imaginable to crack all types of encrypted Internet communication. The cloud, it seems, is full of holes. The good news: New Snowden documents show that some forms of encryption still cause problems for the NSA.","Edward Snowden, Big Data, GCHQ, NSA, International, Germany, NSA Spying Scandal, National Security Agency, Government Communications Headquarters, Data Protection"
/media/media-35532.pdf,"<span class=""asset-headline-intro"">GCHQ Presentation on the BULLRUN Programs Decryption Capabilities</span>",12/28/14,Prying Eyes: Inside the NSA's War on Internet Security,http://www.spiegel.de/international/germany/inside-the-nsa-s-war-on-internet-security-a-1010361.html,Der Spiegel,"US and British intelligence agencies undertake every effort imaginable to crack all types of encrypted Internet communication. The cloud, it seems, is full of holes. The good news: New Snowden documents show that some forms of encryption still cause problems for the NSA.","Edward Snowden, Big Data, GCHQ, NSA, International, Germany, NSA Spying Scandal, National Security Agency, Government Communications Headquarters, Data Protection"
/media/media-35533.pdf,"<span class=""asset-headline-intro"">NSA LONGHAUL program for end-to-end attack orchestration and key recovery service</span>",12/28/14,Prying Eyes: Inside the NSA's War on Internet Security,http://www.spiegel.de/international/germany/inside-the-nsa-s-war-on-internet-security-a-1010361.html,Der Spiegel,"US and British intelligence agencies undertake every effort imaginable to crack all types of encrypted Internet communication. The cloud, it seems, is full of holes. The good news: New Snowden documents show that some forms of encryption still cause problems for the NSA.","Edward Snowden, Big Data, GCHQ, NSA, International, Germany, NSA Spying Scandal, National Security Agency, Government Communications Headquarters, Data Protection"
/media/media-35534.pdf,"<span class=""asset-headline-intro"">BLUESNORT program on ""Net Defense"" from Encrypted Communications</span>",12/28/14,Prying Eyes: Inside the NSA's War on Internet Security,http://www.spiegel.de/international/germany/inside-the-nsa-s-war-on-internet-security-a-1010361.html,Der Spiegel,"US and British intelligence agencies undertake every effort imaginable to crack all types of encrypted Internet communication. The cloud, it seems, is full of holes. The good news: New Snowden documents show that some forms of encryption still cause problems for the NSA.","Edward Snowden, Big Data, GCHQ, NSA, International, Germany, NSA Spying Scandal, National Security Agency, Government Communications Headquarters, Data Protection"
/media/media-35535.pdf,"<span class=""asset-headline-intro"">Presentation from the SIGDEV Conference 2012 explaining which encryption protocols and techniques can be attacked and which not</span>",12/28/14,Prying Eyes: Inside the NSA's War on Internet Security,http://www.spiegel.de/international/germany/inside-the-nsa-s-war-on-internet-security-a-1010361.html,Der Spiegel,"US and British intelligence agencies undertake every effort imaginable to crack all types of encrypted Internet communication. The cloud, it seems, is full of holes. The good news: New Snowden documents show that some forms of encryption still cause problems for the NSA.","Edward Snowden, Big Data, GCHQ, NSA, International, Germany, NSA Spying Scandal, National Security Agency, Government Communications Headquarters, Data Protection"
/media/media-35536.pdf,"<span class=""asset-headline-intro"">NSA program SCARLETFEVER explaining how attacks on encrypted connections are orchestrated</span>",12/28/14,Prying Eyes: Inside the NSA's War on Internet Security,http://www.spiegel.de/international/germany/inside-the-nsa-s-war-on-internet-security-a-1010361.html,Der Spiegel,"US and British intelligence agencies undertake every effort imaginable to crack all types of encrypted Internet communication. The cloud, it seems, is full of holes. The good news: New Snowden documents show that some forms of encryption still cause problems for the NSA.","Edward Snowden, Big Data, GCHQ, NSA, International, Germany, NSA Spying Scandal, National Security Agency, Government Communications Headquarters, Data Protection"
/media/media-35537.pdf,"<span class=""asset-headline-intro"">Description of VOIP Telephony Encryption methods and cryptanalytic and other ways to attack</span>",12/28/14,Prying Eyes: Inside the NSA's War on Internet Security,http://www.spiegel.de/international/germany/inside-the-nsa-s-war-on-internet-security-a-1010361.html,Der Spiegel,"US and British intelligence agencies undertake every effort imaginable to crack all types of encrypted Internet communication. The cloud, it seems, is full of holes. The good news: New Snowden documents show that some forms of encryption still cause problems for the NSA.","Edward Snowden, Big Data, GCHQ, NSA, International, Germany, NSA Spying Scandal, National Security Agency, Government Communications Headquarters, Data Protection"
/media/media-35544.pdf,"<span class=""asset-headline-intro"">General Description how NSA handles encrypted traffic</span>",12/28/14,Prying Eyes: Inside the NSA's War on Internet Security,http://www.spiegel.de/international/germany/inside-the-nsa-s-war-on-internet-security-a-1010361.html,Der Spiegel,"US and British intelligence agencies undertake every effort imaginable to crack all types of encrypted Internet communication. The cloud, it seems, is full of holes. The good news: New Snowden documents show that some forms of encryption still cause problems for the NSA.","Edward Snowden, Big Data, GCHQ, NSA, International, Germany, NSA Spying Scandal, National Security Agency, Government Communications Headquarters, Data Protection"
/media/media-35545.pdf,"<span class=""asset-headline-intro"">Intercept with PGP encrypted message</span>",12/28/14,Prying Eyes: Inside the NSA's War on Internet Security,http://www.spiegel.de/international/germany/inside-the-nsa-s-war-on-internet-security-a-1010361.html,Der Spiegel,"US and British intelligence agencies undertake every effort imaginable to crack all types of encrypted Internet communication. The cloud, it seems, is full of holes. The good news: New Snowden documents show that some forms of encryption still cause problems for the NSA.","Edward Snowden, Big Data, GCHQ, NSA, International, Germany, NSA Spying Scandal, National Security Agency, Government Communications Headquarters, Data Protection"
